GEOID,NAME,year,totpop,white_pct,asian_pct,afam_pct,inc150k_pct,pov_pct,unemp_pct,snap_pct,noveh_pct,state
13021011900,"Census Tract 119, Bibb County, Georgia",Y2016,1804,48.3,1.3,49.7,0.8,24.3,8.7,17,3.5,13
13021012000,"Census Tract 120, Bibb County, Georgia",Y2016,4459,75.2,2.1,18.8,5.5,3.2,3.4,3.5,0.4,13
13021012101,"Census Tract 121.01, Bibb County, Georgia",Y2016,2166,58.9,6.9,29.8,31,14.6,1.4,11.8,3.9,13
13021012102,"Census Tract 121.02, Bibb County, Georgia",Y2016,5098,61.8,4,28.4,7.3,9.7,5.2,8.4,0,13
13021012200,"Census Tract 122, Bibb County, Georgia",Y2016,2461,26,0.2,69.8,6.9,49.8,21.9,42.5,2.5,13
13021012300,"Census Tract 123, Bibb County, Georgia",Y2016,2659,11.1,0,84.8,0.5,43.6,24.8,39,12,13
13021012400,"Census Tract 124, Bibb County, Georgia",Y2016,4658,5.2,0,94.2,0,35.8,23.7,45,10.9,13
13021012500,"Census Tract 125, Bibb County, Georgia",Y2016,2925,7.9,0.8,88.9,0,47.1,20.6,40.7,15.7,13
13021012600,"Census Tract 126, Bibb County, Georgia",Y2016,4483,9.9,1.8,86.7,0.8,35.3,26.1,34.6,8.5,13
13021012700,"Census Tract 127, Bibb County, Georgia",Y2016,2168,5.2,0.7,86,0,53.6,26.6,63.2,13.5,13
13021012800,"Census Tract 128, Bibb County, Georgia",Y2016,3637,10.5,0.2,85.6,1,46.4,26.7,54.6,19.1,13
13021012900,"Census Tract 129, Bibb County, Georgia",Y2016,1716,29,0,67.1,0.9,34.4,25,50.4,9.2,13
13021013101,"Census Tract 131.01, Bibb County, Georgia",Y2016,5180,18.5,0.2,68.7,0,31.4,13.6,38,4.7,13
13021013102,"Census Tract 131.02, Bibb County, Georgia",Y2016,4162,7.8,0.9,90.8,0.5,33.4,21.9,37.4,7.4,13
13021013201,"Census Tract 132.01, Bibb County, Georgia",Y2016,6135,10.8,1,83.3,1.8,22.2,14.1,37.1,4.7,13
13021013202,"Census Tract 132.02, Bibb County, Georgia",Y2016,3091,9.8,0,78.4,2.3,40.9,5.6,44.5,3.3,13
13021013302,"Census Tract 133.02, Bibb County, Georgia",Y2016,4267,24,0,74.3,5.6,19.7,14.6,24.2,5,13
13021013407,"Census Tract 134.07, Bibb County, Georgia",Y2016,5651,46.2,8.7,39.2,7,20.4,4.6,18.4,1.9,13
13021013408,"Census Tract 134.08, Bibb County, Georgia",Y2016,4268,76.3,3.5,17.2,19.9,2.9,6.5,1.1,0,13
13021013409,"Census Tract 134.09, Bibb County, Georgia",Y2016,4178,48.3,11.7,29.3,9.7,3.9,7.8,9.7,0.4,13
13021013410,"Census Tract 134.10, Bibb County, Georgia",Y2016,5477,85,0.6,13.6,20.2,4.4,0.9,1.7,1.2,13
13021013411,"Census Tract 134.11, Bibb County, Georgia",Y2016,3996,66,3.5,23.8,16.7,14.3,1.7,3.8,5.4,13
13021013502,"Census Tract 135.02, Bibb County, Georgia",Y2016,1592,72.2,0,12.9,3.1,21.6,8.7,20.8,3.4,13
13021013503,"Census Tract 135.03, Bibb County, Georgia",Y2016,2489,47.7,3,27.8,3.3,18.5,4.1,16.3,0.8,13
13021013504,"Census Tract 135.04, Bibb County, Georgia",Y2016,8396,73.5,1.7,21.4,2.9,9.6,11.6,10.2,1.1,13
13021013603,"Census Tract 136.03, Bibb County, Georgia",Y2016,4505,66,2.9,24.5,6.7,13.5,4.3,22.6,1.2,13
13021013604,"Census Tract 136.04, Bibb County, Georgia",Y2016,5096,57.4,0,36.2,3.3,8.9,8.8,8.2,0,13
13021013605,"Census Tract 136.05, Bibb County, Georgia",Y2016,4906,54.6,2.1,39.1,6.3,8.2,8.8,4.9,1.2,13
13021013606,"Census Tract 136.06, Bibb County, Georgia",Y2016,6227,68.1,2.2,29.7,11.1,4.6,2.9,1.4,0.7,13
13021013700,"Census Tract 137, Bibb County, Georgia",Y2016,2934,37.6,0.7,60.3,3,39.8,7.5,27.5,13.6,13
13021013800,"Census Tract 138, Bibb County, Georgia",Y2016,2054,1.7,0.2,91.7,4.5,38.5,32.5,60,16.9,13
13021013900,"Census Tract 139, Bibb County, Georgia",Y2016,1874,38,0,50.9,0,47.2,20.2,34.1,4.9,13
13023790100,"Census Tract 7901, Bleckley County, Georgia",Y2016,4642,86.5,0,12.8,4,12.6,4.5,17.3,3.6,13
13023790200,"Census Tract 7902, Bleckley County, Georgia",Y2016,2664,40.7,0,50,1.2,23.3,8,40.8,4.6,13
13023790300,"Census Tract 7903, Bleckley County, Georgia",Y2016,5529,67.9,0.3,29.1,4.6,25.3,5,18.8,4.9,13
13025960100,"Census Tract 9601, Brantley County, Georgia",Y2016,6938,94.2,1.6,0.6,0.8,20.8,12.7,24.3,3.4,13
13025960200,"Census Tract 9602, Brantley County, Georgia",Y2016,6120,89.8,2,3.7,2.8,16.5,10.6,20.6,1,13
13025960300,"Census Tract 9603, Brantley County, Georgia",Y2016,5345,94.5,0,4,2.2,20.4,3.2,24,1.4,13
13027960200,"Census Tract 9602, Brooks County, Georgia",Y2016,1512,64.4,0.8,14.9,4.1,18.1,7.9,14.2,2.3,13
13027960300,"Census Tract 9603, Brooks County, Georgia",Y2016,5590,72.8,0.5,24,1.4,21.4,14.1,19,0.5,13
13027960400,"Census Tract 9604, Brooks County, Georgia",Y2016,3373,45.4,0,44.9,3.1,21.7,16,26.7,0,13
13027960500,"Census Tract 9605, Brooks County, Georgia",Y2016,2840,30,3.2,65,7.5,21.4,34.8,35.3,0,13
13027960600,"Census Tract 9606, Brooks County, Georgia",Y2016,2330,65.4,0,25.2,3.5,17.9,18.3,19.4,0.7,13
13029920101,"Census Tract 9201.01, Bryan County, Georgia",Y2016,5270,84.5,0.1,9.8,6.2,14.5,14.3,17,0.7,13
13029920102,"Census Tract 9201.02, Bryan County, Georgia",Y2016,4929,70,0.9,22.3,4.7,22.6,11.3,16.3,5,13
13029920301,"Census Tract 9203.01, Bryan County, Georgia",Y2016,2012,76.2,1.6,10.7,8.3,8.7,11.6,12.9,0.6,13
13029920303,"Census Tract 9203.03, Bryan County, Georgia",Y2016,6335,61,1.4,20.8,2.1,18.4,8.9,13.9,1.8,13
13029920305,"Census Tract 9203.05, Bryan County, Georgia",Y2016,4448,79.9,2.2,11.4,19.2,3.9,4.9,1.4,0.5,13
13029920306,"Census Tract 9203.06, Bryan County, Georgia",Y2016,11110,77.7,3.1,11.2,21,5.2,7.9,6.1,0,13
13029980000,"Census Tract 9800, Bryan County, Georgia",Y2016,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
13031110100,"Census Tract 1101, Bulloch County, Georgia",Y2016,3701,68.4,0.5,27.3,0.8,22.7,8.8,23.5,2.7,13
13031110200,"Census Tract 1102, Bulloch County, Georgia",Y2016,8061,51.5,0.8,40.7,5.5,30.3,3,18.9,5.9,13
13031110300,"Census Tract 1103, Bulloch County, Georgia",Y2016,7838,70.5,2.2,19.2,9.2,16,3.3,12.4,1.9,13
13031110401,"Census Tract 1104.01, Bulloch County, Georgia",Y2016,3328,38,0.7,57.3,2.3,37.4,11.2,26.2,4.8,13
13031110403,"Census Tract 1104.03, Bulloch County, Georgia",Y2016,7386,55.2,2.3,36.4,0,64.7,13.7,18.4,4.3,13
13031110404,"Census Tract 1104.04, Bulloch County, Georgia",Y2016,7540,49.1,1.6,40.8,3.4,75.9,4.9,23.3,6.1,13
13031110500,"Census Tract 1105, Bulloch County, Georgia",Y2016,4573,71.9,3.8,17.2,5.2,45.7,11.2,10.8,5.5,13
13031110601,"Census Tract 1106.01, Bulloch County, Georgia",Y2016,7001,63.2,1.1,33.5,5.5,18.5,4,17.7,1.7,13
13031110602,"Census Tract 1106.02, Bulloch County, Georgia",Y2016,4092,54.7,1.1,34.8,2.2,24.2,10.6,24.2,0.9,13
13031110700,"Census Tract 1107, Bulloch County, Georgia",Y2016,10147,78.8,2,11.6,10.8,27.4,8.5,10.8,0.2,13
13031110800,"Census Tract 1108, Bulloch County, Georgia",Y2016,2493,68.3,0.5,30.7,1.7,19.5,11.1,17,1.5,13
13031110900,"Census Tract 1109, Bulloch County, Georgia",Y2016,6981,86.5,0,10.8,2.4,12.7,14.9,20.2,1.5,13
13033950100,"Census Tract 9501, Burke County, Georgia",Y2016,5331,56.6,0,38.5,3,20.6,7.1,19.4,0,13
13033950200,"Census Tract 9502, Burke County, Georgia",Y2016,2519,78.9,0,18.9,7.8,24.9,10.4,16,2.6,13
13033950400,"Census Tract 9504, Burke County, Georgia",Y2016,4837,19,0,80.6,3.7,35.5,8.5,39,2.4,13
13033950500,"Census Tract 9505, Burke County, Georgia",Y2016,5565,49,0.4,46.6,3.9,22.8,1.9,26.6,0,13
13033950700,"Census Tract 9507, Burke County, Georgia",Y2016,2887,47.7,1.2,50.4,1.9,25.7,14.7,28.8,1.1,13
13033950900,"Census Tract 9509, Burke County, Georgia",Y2016,1699,42.7,0,44.7,0.8,10.9,7.1,12.7,5.3,13
13035150100,"Census Tract 1501, Butts County, Georgia",Y2016,7943,88.9,0.2,9,5.4,14.4,10.5,16.3,1.8,13
13035150200,"Census Tract 1502, Butts County, Georgia",Y2016,7876,52,1.4,39.4,1.9,25.1,7.9,29.7,2.4,13
13035150300,"Census Tract 1503, Butts County, Georgia",Y2016,7660,59.2,0.1,36.6,3.9,13.7,5.3,19.1,1.7,13
13037950100,"Census Tract 9501, Calhoun County, Georgia",Y2016,3381,34.2,0,57.4,3.9,17.4,8,23.5,0,13
13037950200,"Census Tract 9502, Calhoun County, Georgia",Y2016,3062,30.5,1.7,62.3,3.9,36,18.7,29.5,0.5,13
13039010100,"Census Tract 101, Camden County, Georgia",Y2016,2636,79.8,0,18.5,10.9,7.7,13.3,7.4,1,13
13039010200,"Census Tract 102, Camden County, Georgia",Y2016,5265,67,1.3,26.4,8.9,11.5,8.2,15.1,5.3,13
13039010301,"Census Tract 103.01, Camden County, Georgia",Y2016,8271,72.3,0.9,19.7,1.6,16.2,6.1,17.1,7.6,13
13039010302,"Census Tract 103.02, Camden County, Georgia",Y2016,4529,60,1,27.2,4.2,10.5,12.1,12.4,0,13
13039010401,"Census Tract 104.01, Camden County, Georgia",Y2016,11853,65.6,2.5,18,5.3,10.4,6.9,9.3,0,13
13039010402,"Census Tract 104.02, Camden County, Georgia",Y2016,5439,82.6,1.3,7.6,8.1,3.4,4.6,7,2.2,13
13039010403,"Census Tract 104.03, Camden County, Georgia",Y2016,3916,77.9,1.2,14.2,14.8,6.9,13.4,3.6,0,13
13039010500,"Census Tract 105, Camden County, Georgia",Y2016,3181,68.3,0.5,6.3,1,37.5,16,21.1,1.3,13
13039010601,"Census Tract 106.01, Camden County, Georgia",Y2016,5877,68.7,0.7,23.8,5,20.9,13.8,21.9,2.4,13
13039010602,"Census Tract 106.02, Camden County, Georgia",Y2016,1125,74.5,1.2,4.4,9.8,7,25.1,20.2,1.5,13
13039990000,"Census Tract 9900, Camden County, Georgia",Y2016,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13
13043950100,"Census Tract 9501, Candler County, Georgia",Y2016,4747,56.5,0.1,34.5,7.6,25.3,7.6,27.7,7,13
13043950200,"Census Tract 9502, Candler County, Georgia",Y2016,3843,71,1.7,15.3,2.8,27.1,6,13.1,1.4,13
13043950300,"Census Tract 9503, Candler County, Georgia",Y2016,2372,62,0.7,16.7,1.2,25.9,7.8,18,0,13
13045910101,"Census Tract 9101.01, Carroll County, Georgia",Y2016,6224,58.6,1.7,29.5,1.7,22.2,13.6,25.7,7.7,13
13045910103,"Census Tract 9101.03, Carroll County, Georgia",Y2016,4824,73.4,1.1,15,5,10.1,9,8.8,0,13
13045910104,"Census Tract 9101.04, Carroll County, Georgia",Y2016,10068,68.1,0.3,21.6,4.6,16.1,9.1,23.4,0.7,13
13045910200,"Census Tract 9102, Carroll County, Georgia",Y2016,11669,83.1,0,13.6,3.2,16.6,14,23.6,0,13
13045910300,"Census Tract 9103, Carroll County, Georgia",Y2016,5978,80,1,12.6,2,12.7,12.2,16.3,3.5,13
13045910400,"Census Tract 9104, Carroll County, Georgia",Y2016,3326,93.4,0,4.7,3.2,15.2,15.8,12.7,3.2,13
13045910501,"Census Tract 9105.01, Carroll County, Georgia",Y2016,8615,43.8,2.8,38.4,1.3,34.7,11.7,18.8,3.1,13
13045910502,"Census Tract 9105.02, Carroll County, Georgia",Y2016,3339,19.9,0,45.3,0,33.6,16.4,35.3,7.2,13
13045910600,"Census Tract 9106, Carroll County, Georgia",Y2016,6391,65.7,1.4,20.1,5.9,14.9,4.3,19.1,0.5,13
13045910701,"Census Tract 9107.01, Carroll County, Georgia",Y2016,9360,70.1,2.1,15.5,4.1,13.6,8.1,19.9,0.4,13
13045910702,"Census Tract 9107.02, Carroll County, Georgia",Y2016,8052,80.6,0.5,11,7.7,11.1,10.9,11,1,13
13045910703,"Census Tract 9107.03, Carroll County, Georgia",Y2016,8743,72.6,1,19.7,6.5,17.5,11.5,27.2,2.1,13
13045910800,"Census Tract 9108, Carroll County, Georgia",Y2016,4188,90.6,0.2,2.9,6.7,14.1,10.9,19,1.2,13
13045910900,"Census Tract 9109, Carroll County, Georgia",Y2016,4064,90.5,0,5.5,11,16.1,10.8,16.5,0,13
13045911000,"Census Tract 9110, Carroll County, Georgia",Y2016,6083,65.9,0,16.4,9.1,16.2,5.1,25.6,4.6,13
13045911100,"Census Tract 9111, Carroll County, Georgia",Y2016,7217,78.6,0.7,15.7,4.9,21,9,15.7,2,13
13045911200,"Census Tract 9112, Carroll County, Georgia",Y2016,5615,80.3,0.2,15.7,3.9,15.3,6.3,21.9,2.6,13
13047030100,"Census Tract 301, Catoosa County, Georgia",Y2016,6114,94.9,0,1.6,6,14,8.7,11.9,0,13
